id,token,tag,nested_1,wiki_id
0,Сравнительный,B-TERM,,
1,анализ,I-TERM,,
2,использования,O,,
3,реляционных,B-TERM,,Q192588:3
4,и,O,,
5,графовых,B-TERM,,"Q595971:5,6,7"
6,баз,I-TERM,B-TERM,
7,данных,I-TERM,I-TERM,
8,в,O,,
9,разработке,O,,
10,цифровых,B-TERM,,
11,образовательных,I-TERM,,
12,систем,I-TERM,,
13,Рассмотрены,O,,
14,вопросы,O,,
15,выбора,O,,
16,варианта,O,,
17,реализации,O,,
18,базы,B-TERM,,"Q8513:18,19"
19,данных,I-TERM,,
20,при,O,,
21,разработке,O,,
22,цифровых,B-TERM,,
23,образовательных,I-TERM,,
24,систем,I-TERM,,
25,.,O,,
26,Проведен,O,,
27,сравнительный,B-TERM,,
28,анализ,I-TERM,,
29,реляционного,B-TERM,,
30,и,O,,
31,графового,B-TERM,,
32,подходов,I-TERM,,
33,к,O,,
34,хранению,B-TERM,,
35,базовых,I-TERM,,
36,сущностей,I-TERM,,
37,.,O,,
38,Продемонстрирован,O,,
39,ряд,O,,
40,преимуществ,O,,
41,графовой,B-TERM,,
42,модели,I-TERM,,
43,в,O,,
44,контексте,O,,
45,удобства,B-TERM,,
46,разработки,I-TERM,,
47,и,O,,
48,эффективности,B-TERM,,
49,реализации,I-TERM,,
50,запросов,I-TERM,,
51,.,O,,
