id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Атрибутная,B-TERM,,,,
1,конвейерная,I-TERM,,,,
2,модель,I-TERM,B-TERM,,,Q1979154:2
3,для,O,,,,
4,интерактивной,B-TERM,B-TERM,,,Q18408477:4
5,визуализации,I-TERM,I-TERM,,,
6,объектных,I-TERM,,,,
7,связей,I-TERM,,,,
8,Определена,O,,,,
9,модель,B-TERM,,,,Q1979154:9
10,для,O,,,,
11,визуализации,B-TERM,B-TERM,,,Q6504956:11
12,связей,I-TERM,,,,
13,между,I-TERM,,,,
14,объектами,I-TERM,,,,
15,и,O,,,,
16,их,O,,,,
17,атрибутами,B-TERM,,,,Q2722260:17
18,в,O,,,,
19,различных,O,,,,
20,процессах,B-TERM,,,,Q10843872:20
21,.,O,,,,
22,На,O,,,,
23,основании,O,,,,
24,модели,B-TERM,,,,Q1979154:24
25,разработан,O,,,,
26,универсальный,B-TERM,B-TERM,,,
27,абстрактный,I-TERM,I-TERM,,,
28,компонент,I-TERM,I-TERM,B-TERM,B-TERM,"Q5597179:28,29,30,31"
29,графического,I-TERM,B-TERM,,I-TERM,
30,пользовательского,I-TERM,I-TERM,,I-TERM,
31,интерфейса,I-TERM,I-TERM,,I-TERM,
32,и,O,,,,
33,приведены,O,,,,
34,примеры,O,,,,
35,его,O,,,,
36,программной,B-TERM,,,,
37,реализации,I-TERM,,,,
38,.,O,,,,
39,Также,O,,,,
40,проведена,O,,,,
41,апробация,O,,,,
42,компонента,B-TERM,,,,Q5597179:42
43,для,O,,,,
44,решения,O,,,,
45,прикладной,O,,,,
46,задачи,O,,,,
47,по,O,,,,
48,извлечению,B-TERM,,,,"Q1662562:48,49"
49,информации,I-TERM,,,,
50,из,O,,,,
51,документов,B-TERM,,,,Q49848:51
52,.,O,,,,
