id,token,tag,nested_1,nested_2,wiki_id
0,Опыт,O,,,
1,разработки,B-TERM,,,Q638608:1
2,и,O,,,
3,внедрения,B-TERM,,,
4,информационной,I-TERM,B-TERM,,"Q121182:4,5"
5,системы,I-TERM,I-TERM,,
6,для,O,,,
7,поддержки,O,,,
8,процесса,B-TERM,,,
9,направления,I-TERM,,,
10,студентов,I-TERM,B-TERM,,Q315247:10
11,на,I-TERM,,,
12,практику,I-TERM,B-TERM,,Q6500754:12
13,в,O,,,
14,НИУ,O,,,
15,МЭИ,O,,,
16,В,O,,,
17,статье,O,,,
18,рассмотрен,O,,,
19,обязательный,O,,,
20,для,O,,,
21,высших,B-TERM,,,
22,образовательных,I-TERM,B-TERM,,"Q2385804:22,23"
23,учреждений,I-TERM,I-TERM,,
24,РФ,I-TERM,,,
25,процесс,B-TERM,,,
26,проведения,I-TERM,,,
27,практических,I-TERM,,,
28,занятий,I-TERM,,,
29,студентов,I-TERM,B-TERM,,Q315247:29
30,",",O,,,
31,приведены,O,,,
32,ссылки,O,,,
33,на,O,,,
34,нормативные,B-TERM,,,
35,документы,I-TERM,,,
36,",",O,,,
37,описан,O,,,
38,подход,B-TERM,,,Q1799072:38
39,",",O,,,
40,устоявшийся,O,,,
41,в,O,,,
42,НИУ,O,,,
43,МЭИ,O,,,
44,.,O,,,
45,До,O,,,
46,начала,O,,,
47,проведения,O,,,
48,практики,B-TERM,,,Q6500754:48
49,каждый,O,,,
50,студент,B-TERM,,,Q315247:50
51,должен,O,,,
52,быть,O,,,
53,прикреплен,O,,,
54,к,O,,,
55,определённой,O,,,
56,базе,B-TERM,,,
57,практики,I-TERM,B-TERM,,Q6500754:57
58,–,O,,,
59,учреждению,B-TERM,,,Q43229:59
60,с,O,,,
61,соответствующей,O,,,
62,профилю,B-TERM,,,
63,подготовки,I-TERM,,,
64,обучающегося,I-TERM,,,
65,специализацией,B-TERM,,,Q1047113:65
66,",",O,,,
67,которое,O,,,
68,будет,O,,,
69,осуществлять,O,,,
70,проведение,B-TERM,,,
71,и,O,,,
72,контроль,B-TERM,,,
73,практических,I-TERM,,,
74,занятий,I-TERM,,,
75,.,O,,,
76,Если,O,,,
