id,token,tag,nested_2,wiki_id
0,Разработка,B-TERM,,
1,ядра,I-TERM,,
2,онтологической,I-TERM,B-TERM,"Q324254:2,3"
3,модели,I-TERM,I-TERM,
4,",",O,,
5,настраиваемой,O,,
6,под,O,,
7,предметную,B-TERM,,"Q2088941:7,8"
8,область,I-TERM,,
,,,,
9,Статья,O,,
10,посвящена,O,,
11,разработке,B-TERM,,
12,ядра,I-TERM,,
13,онтологической,I-TERM,B-TERM,"Q324254:13,14"
14,модели,I-TERM,I-TERM,
15,в,O,,
16,виде,O,,
17,программной,B-TERM,,"Q2429814:17,18"
18,системы,I-TERM,,
19,",",O,,
20,настраиваемой,O,,
21,под,O,,
22,конкретную,O,,
23,предметную,B-TERM,,"Q2088941:23,24"
24,область,I-TERM,,
25,.,O,,
26,Работа,O,,
27,основана,O,,
28,на,O,,
29,теоретико,B-TERM,,"Q467606:29,30,31,32"
30,-,I-TERM,,
31,модельном,I-TERM,,
32,подходе,I-TERM,,
33,к,O,,
34,представлению,B-TERM,,"Q3478658:34,35"
35,знаний,I-TERM,,
36,.,O,,
37,Для,O,,
38,представления,B-TERM,,"Q3478658:38,39"
39,знаний,I-TERM,,
40,используются,O,,
41,фрагменты,O,,
42,атомарных,B-TERM,,
43,диаграмм,I-TERM,,
44,алгебраических,I-TERM,,"Q56312286:44,45"
45,систем,I-TERM,,
46,и,O,,
47,нечеткие,B-TERM,,
48,модели,I-TERM,,
49,.,O,,
50,Программная,B-TERM,,"Q2429814:50,51"
51,система,I-TERM,,
52,разбита,O,,
53,на,O,,
54,модули,B-TERM,,Q2663565:54
55,.,O,,
56,Базовые,O,,
57,модули,B-TERM,,Q2663565:57
58,реализуют,O,,
59,функциональность,O,,
60,",",O,,
61,необходимую,O,,
62,для,O,,
63,любой,O,,
64,онтологической,B-TERM,,"Q324254:64,65"
65,модели,I-TERM,,
66,.,O,,
67,Например,O,,
68,",",O,,
69,проверку,O,,
70,на,O,,
71,непротиворечивость,B-TERM,,Q1319773:71
72,хранящихся,I-TERM,,
73,знаний,I-TERM,,Q9081:73
74,.,O,,
75,Расширение,O,,
76,функциональности,O,,
77,происходит,O,,
78,через,O,,
79,создание,O,,
80,новых,O,,
81,модулей,B-TERM,,Q2663565:81
82,и,O,,
83,их,O,,
84,добавление,O,,
85,в,O,,
86,систему,B-TERM,,Q2429814:86
87,.,O,,
88,В,O,,
89,работе,O,,
90,приведен,O,,
91,обзор,O,,
92,существующих,O,,
93,программных,O,,
94,решений,O,,
95,в,O,,
96,области,O,,
97,разработки,O,,
98,онтологий,B-TERM,,Q324254:98
99,и,O,,
100,онтологических,B-TERM,,"Q324254:100,101"
101,моделей,I-TERM,,
102,.,O,,
103,Описана,O,,
104,структура,B-TERM,,Q6671777:104
105,ядра,B-TERM,,
106,онтологической,I-TERM,,"Q324254:106,107"
107,модели,I-TERM,,
108,",",O,,
109,приведена,O,,
110,архитектура,B-TERM,,"Q846636:110,111,112"
111,программного,I-TERM,,
112,решения,I-TERM,,
