id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Трехмерное,B-TERM,,,,
1,моделирование,I-TERM,,,,
2,и,O,,,,
3,инверсия,B-TERM,B-TERM,,,
4,данных,I-TERM,I-TERM,,,
5,комплекса,I-TERM,B-TERM,,,
6,методов,I-TERM,I-TERM,B-TERM,,
7,электрокаротажа,I-TERM,I-TERM,I-TERM,B-TERM,
8,в,O,,,,
9,моделях,B-TERM,,,,
10,сред,I-TERM,,,,
11,с,O,,,,
12,наклоном,B-TERM,,,,
13,главных,I-TERM,,,,
14,осей,I-TERM,,,,
15,тензора,I-TERM,B-TERM,,,
16,электрической,I-TERM,I-TERM,,,
17,анизотропии,I-TERM,I-TERM,B-TERM,,Q466686:17
18,Впервые,O,,,,
19,формулируются,O,,,,
20,прямая,B-TERM,,,,
21,и,O,,,,
22,обратная,B-TERM,,,,
23,задачи,I-TERM,,,,
24,электрического,I-TERM,B-TERM,,,
25,каротажа,I-TERM,I-TERM,,,
26,об,O,,,,
27,определении,B-TERM,,,,
28,компонент,I-TERM,,,,
29,тензора,I-TERM,B-TERM,B-TERM,,
30,электрической,I-TERM,I-TERM,I-TERM,,
31,анизотропии,I-TERM,I-TERM,I-TERM,B-TERM,Q466686:31
32,горных,I-TERM,I-TERM,B-TERM,,"Q8063:32,33"
33,пород,I-TERM,I-TERM,I-TERM,,
34,по,O,,,,
35,комплексу,B-TERM,,,,
36,измерений,I-TERM,,,,
37,методами,B-TERM,B-TERM,,,Q1799072:37
38,бокового,I-TERM,B-TERM,,,
39,каротажного,I-TERM,I-TERM,,,
40,зондирования,I-TERM,I-TERM,,,
41,и,O,,,,
42,бокового,B-TERM,,,,
43,каротажа,I-TERM,,,,
44,в,O,,,,
45,нефтегазовых,B-TERM,,,,
46,скважинах,I-TERM,,,,
47,.,O,,,,
48,Рассматриваются,O,,,,
49,особенности,O,,,,
50,конечно,B-TERM,,,,
51,элементной,I-TERM,,,,
52,аппроксимации,I-TERM,,,,
53,прямой,I-TERM,B-TERM,,,"Q26922245:53,54"
54,задачи,I-TERM,I-TERM,,,
55,",",O,,,,
56,использующей,O,,,,
57,базисные,B-TERM,B-TERM,,,"Q2621825:57,58"
58,функции,I-TERM,I-TERM,,,
59,большого,I-TERM,,,,
60,порядка,I-TERM,,,,
61,.,O,,,,
62,Исследуется,O,,,,
63,возможность,O,,,,
64,восстановления,B-TERM,,,,
65,горизонтальной,I-TERM,,,,
66,и,I-TERM,,,,
67,вертикальной,I-TERM,,,,
68,составляющих,I-TERM,,,,
69,удельного,I-TERM,B-TERM,,,"Q108193:69,70,71"
70,электрического,I-TERM,I-TERM,,,
71,сопротивления,I-TERM,I-TERM,,,
72,",",O,,,,
73,а,O,,,,
74,также,O,,,,
75,угла,B-TERM,,,,
76,наклона,I-TERM,,,,
77,главных,I-TERM,,,,
78,осей,I-TERM,,,,
79,тензора,I-TERM,B-TERM,,,
80,электрической,I-TERM,I-TERM,,,
81,анизотропии,I-TERM,I-TERM,B-TERM,,Q466686:81
82,.,O,,,,
