id,token,tag,nested_1,wiki_id
0,Применение,O,,
1,методов,B-TERM,,"Q197536:1,2,3"
2,глубинного,I-TERM,,
3,обучения,I-TERM,,
4,для,O,,
5,обнаружения,O,,
6,вторжений,B-TERM,,
7,Приведены,O,,
8,результаты,O,,
9,применения,O,,
10,глубоких,B-TERM,,"Q51289900:10,11,12"
11,нейронных,I-TERM,B-TERM,
12,сетей,I-TERM,I-TERM,
13,для,O,,
14,детектирования,B-TERM,,
15,вредоносной,I-TERM,,
16,активности,I-TERM,,
17,в,O,,
18,сетевом,B-TERM,,"Q1172573:18,19"
19,трафике,I-TERM,,
20,.,O,,
21,В,O,,
22,процессе,O,,
23,исследования,O,,
24,реализованы,O,,
25,2,O,,
26,вида,O,,
27,нейронной,B-TERM,,"Q1172573:27,28"
28,сети,I-TERM,,
29,:,O,,
30,рекуррентный,B-TERM,,
31,автоэнкодер,I-TERM,B-TERM,Q786435:31
32,и,O,,
33,генеративно,B-TERM,,"Q25104379:33,34,35,36"
34,-,I-TERM,,
35,состязательная,I-TERM,,
36,сеть,I-TERM,B-TERM,
37,.,O,,
38,Приведены,O,,
39,результаты,O,,
40,исследования,O,,
41,на,O,,
42,наборе,B-TERM,B-TERM,"Q1172284:42,43"
43,данных,I-TERM,I-TERM,
44,CICIDS2017,I-TERM,B-TERM,
45,.,O,,
