id,token,tag,nested_1,wiki_id
0,Оптимизация,B-TERM,,
1,переупорядочивания,I-TERM,B-TERM,
2,модельных,I-TERM,I-TERM,
3,частиц,I-TERM,I-TERM,
4,при,O,,
5,реализации,O,,
6,метода,B-TERM,,"Q2054543:6,7,8,9"
7,частиц,I-TERM,,
8,в,I-TERM,,
9,ячейках,I-TERM,,
10,на,O,,
11,GPU,B-TERM,,Q183484:11
,,,,
12,Представлено,O,,
13,описание,O,,
14,реализации,O,,
15,метода,B-TERM,,"Q2054543:15,16,17,18"
16,частиц,I-TERM,,
17,в,I-TERM,,
18,ячейках,I-TERM,,
19,на,O,,
20,GPU,B-TERM,,Q183484:20
21,.,O,,
22,Основным,O,,
23,недостатком,O,,
24,метода,B-TERM,,Q2054543:24
25,",",O,,
26,с,O,,
27,точки,O,,
28,зрения,O,,
29,затрат,O,,
30,по,O,,
31,времени,O,,
32,",",O,,
33,является,O,,
34,функция,B-TERM,,
35,переупорядочивания,I-TERM,B-TERM,
36,частиц,I-TERM,I-TERM,
37,между,I-TERM,,
38,ячейками,I-TERM,,
39,.,O,,
40,Изложена,O,,
41,оригинальная,O,,
42,методика,B-TERM,,
43,оптимизации,I-TERM,,
44,данного,O,,
45,этапа,O,,
46,расчета,O,,
47,",",O,,
48,позволяющая,O,,
49,избавиться,O,,
50,от,O,,
51,атомарных,B-TERM,,"Q25633119:51,52"
52,операций,I-TERM,,
53,.,O,,
54,Приведены,O,,
55,результаты,O,,
56,тестирования,O,,
57,производительности,O,,
58,на,O,,
59,ряде,O,,
60,современных,O,,
61,графических,B-TERM,,"Q183484:61,62"
62,процессоров,I-TERM,,
63,.,O,,
