id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Теоретико,B-TERM,,,,
1,-,I-TERM,,,,
2,алгоритмическая,I-TERM,,,,
3,база,I-TERM,,,,
4,и,O,,,,
5,компьютерное,B-TERM,B-TERM,,,"Q925667:5,6"
6,моделирование,I-TERM,I-TERM,B-TERM,,
7,данных,I-TERM,,,,
8,диэлектрического,I-TERM,B-TERM,,,
9,каротажа,I-TERM,I-TERM,,,
10,для,O,,,,
11,изучения,O,,,,
12,частотного,B-TERM,,,,
13,спектра,I-TERM,,,,
14,электрофизических,I-TERM,,,,
15,параметров,I-TERM,,,,
16,геологической,I-TERM,B-TERM,,,"Q3936418:16,17"
17,среды,I-TERM,I-TERM,,,
18,Статья,O,,,,
19,посвящена,O,,,,
20,разработке,O,,,,
21,теоретической,B-TERM,,,,
22,базы,I-TERM,,,,
23,компьютерного,I-TERM,B-TERM,B-TERM,,"Q925667:23,24"
24,моделирования,I-TERM,I-TERM,I-TERM,B-TERM,
25,данных,I-TERM,I-TERM,,,
26,диэлектрического,I-TERM,I-TERM,B-TERM,,
27,каротажа,I-TERM,I-TERM,I-TERM,,
28,с,O,,,,
29,целью,O,,,,
30,обоснования,O,,,,
31,нового,O,,,,
32,импортозамещающего,O,,,,
33,оборудования,O,,,,
34,для,O,,,,
35,каротажа,B-TERM,B-TERM,,,Q2383566:35
36,нефтяных,I-TERM,,,,
37,и,I-TERM,,,,
38,газовых,I-TERM,,,,
39,скважин,I-TERM,,,,
40,.,O,,,,
41,Разработаны,O,,,,
42,алгоритмы,B-TERM,,,,Q8366:42
43,и,O,,,,
44,реализованы,O,,,,
45,быстрые,O,,,,
46,программы,B-TERM,,,,
47,компьютерного,I-TERM,B-TERM,,,"Q925667:47,48"
48,моделирования,I-TERM,I-TERM,B-TERM,,
49,высокочастотных,I-TERM,,,,
50,электромагнитных,I-TERM,,,,
51,сигналов,I-TERM,,,,
52,в,O,,,,
53,рамках,O,,,,
54,слоисто,B-TERM,,,,
55,-,I-TERM,,,,
56,однородных,I-TERM,,,,
57,моделей,I-TERM,,,,
58,сред,I-TERM,,,,
59,.,O,,,,
60,По,O,,,,
61,результатам,O,,,,
62,масштабного,O,,,,
63,моделирования,B-TERM,B-TERM,,,Q6888384:63
64,амплитудно,I-TERM,,,,
65,-,I-TERM,,,,
66,фазовых,I-TERM,,,,
67,характеристик,I-TERM,,,,
68,высокочастотного,I-TERM,,,,
69,поля,I-TERM,,,,
70,установлена,O,,,,
71,их,O,,,,
72,зависимость,B-TERM,,,,Q74616419:72
73,от,O,,,,
74,частотного,B-TERM,,,,
75,спектра,I-TERM,,,,
76,электрофизических,I-TERM,,,,
77,параметров,I-TERM,,,,
78,.,O,,,,
79,Проведенные,O,,,,
80,исследования,O,,,,
81,позволяют,O,,,,
82,выполнить,O,,,,
83,научное,B-TERM,,,,
84,обоснование,I-TERM,,,,
85,и,O,,,,
86,оптимальное,O,,,,
87,проектирование,B-TERM,,,,
88,новой,O,,,,
89,электромагнитной,B-TERM,,,,
90,зондирующей,I-TERM,,,,
91,системы,I-TERM,,,,
92,.,O,,,,
