id,token,tag,nested_1,nested_2,wiki_id
0,Некоторые,O,,,
1,подходы,B-TERM,B-TERM,,
2,к,I-TERM,,,
3,хранению,I-TERM,,,
4,информации,I-TERM,,,
5,о,O,,,
6,книгообеспеченности,B-TERM,,,
7,учебного,B-TERM,,,
8,процесса,I-TERM,,,
9,высшего,B-TERM,,,"Q38723:9,10,11"
10,учебного,I-TERM,,,
11,заведения,I-TERM,,,
12,Рассматриваются,O,,,
13,три,O,,,
14,подхода,B-TERM,B-TERM,,
15,к,I-TERM,,,
16,хранению,I-TERM,,,
17,информации,I-TERM,,,
18,о,O,,,
19,книгообеспеченности,B-TERM,,,
20,учебного,B-TERM,,,
21,процесса,I-TERM,,,
22,при,O,,,
23,различных,O,,,
24,вариантах,O,,,
25,интеграции,B-TERM,,,
26,автоматизированной,I-TERM,B-TERM,,Q93661:26
27,библиотечной,I-TERM,I-TERM,,
28,информационной,I-TERM,I-TERM,B-TERM,
29,системы,I-TERM,I-TERM,I-TERM,
30,(,O,,,
31,АБИС,B-TERM,,,Q93661:31
32,),O,,,
33,с,O,,,
34,информационной,B-TERM,,,"Q121182:34,35"
35,системой,I-TERM,,,
36,вуза,B-TERM,,,Q38723:36
37,:,O,,,
38,внутри,O,,,
39,АБИС,B-TERM,,,Q93661:39
40,в,O,,,
41,формате,B-TERM,,,
42,RUSMARC,I-TERM,B-TERM,,
43,",",O,,,
44,в,O,,,
45,виде,O,,,
46,реляционной,B-TERM,,,"Q3932296:46,47,48"
47,базы,I-TERM,B-TERM,,
48,данных,I-TERM,I-TERM,,
49,",",O,,,
50,с,O,,,
51,использованием,O,,,
52,технологии,B-TERM,,,Q642514:52
53,OLAP,I-TERM,B-TERM,,
54,.,O,,,
55,Анализируются,O,,,
56,преимущества,O,,,
57,и,O,,,
58,недостатки,O,,,
59,каждого,O,,,
60,подхода,B-TERM,,,
61,",",O,,,
62,приводятся,O,,,
63,примеры,O,,,
64,организации,B-TERM,,,
65,хранения,I-TERM,,,
66,данных,I-TERM,,,
67,(,O,,,
68,поля,B-TERM,,,
69,RUSMARC,I-TERM,B-TERM,,
70,",",O,,,
71,измерения,B-TERM,,,
72,и,O,,,
73,меры,B-TERM,,,
74,для,O,,,
75,кубов,B-TERM,,,"Q2007722:75,76"
76,OLAP,I-TERM,B-TERM,,
77,).,O,,,
