id,token,tag,nested_1,nested_2,wiki_id
0,Электромагнитное,B-TERM,B-TERM,,
1,профилирование,I-TERM,I-TERM,,
2,компактной,I-TERM,B-TERM,,
3,аппаратурой,I-TERM,I-TERM,,
4,:,O,,,
5,новый,O,,,
6,подход,O,,,
7,и,O,,,
8,результаты,O,,,
9,применения,O,,,
10,Современные,O,,,
11,портативные,B-TERM,,,
12,приборы,I-TERM,,,
13,для,O,,,
14,электромагнитного,B-TERM,,,
15,профилирования,I-TERM,,,
16,и,O,,,
17,малоглубинного,B-TERM,,,
18,зондирования,I-TERM,,,
19,позволяют,O,,,
20,изучать,O,,,
21,распределение,B-TERM,,,
22,удельного,I-TERM,B-TERM,,"Q108193:22,23,24"
23,электрического,I-TERM,I-TERM,,
24,сопротивления,I-TERM,I-TERM,,
25,грунта,I-TERM,,,
26,.,O,,,
27,К,O,,,
28,типичным,O,,,
29,сферам,B-TERM,,,
30,применения,I-TERM,,,
31,подобных,O,,,
32,комплексов,B-TERM,,,
33,можно,O,,,
34,отнести,O,,,
35,:,O,,,
36,исследование,O,,,
37,археологических,B-TERM,,,
38,объектов,I-TERM,,,
39,–,O,,,
40,курганы,B-TERM,,,Q5737:40
41,",",O,,,
42,древние,B-TERM,,,
43,поселения,I-TERM,,,
44,;,O,,,
45,решение,O,,,
46,экологических,B-TERM,,,
47,задач,I-TERM,,,
48,–,O,,,
49,изучение,O,,,
50,отвалов,B-TERM,,,Q2710737:50
51,и,O,,,
52,хвостохранилищ,B-TERM,B-TERM,,Q4496980:52
53,горнодобывающих,I-TERM,B-TERM,,"Q2990216:53,54"
54,предприятий,I-TERM,I-TERM,,
55,",",O,,,
56,зон,B-TERM,,,
57,распространения,I-TERM,,,
58,вредных,I-TERM,B-TERM,,"Q50379880:58,59"
59,веществ,I-TERM,I-TERM,,
60,;,O,,,
61,локализация,O,,,
62,инженерных,B-TERM,,,
63,объектов,I-TERM,,,
64,–,O,,,
65,труб,B-TERM,,,Q41551:65
66,и,O,,,
67,коммуникаций,B-TERM,,,
68,",",O,,,
69,исследование,O,,,
70,состояния,B-TERM,,,
71,дамб,I-TERM,B-TERM,,Q105190:71
72,и,O,,,
73,плотин,B-TERM,,,Q12323:73
74,.,O,,,
75,Перспективной,O,,,
76,сферой,B-TERM,,,
77,являются,O,,,
78,объекты,B-TERM,,,
79,агропромышленного,I-TERM,B-TERM,,"Q2632956:79,80"
80,комплекса,I-TERM,I-TERM,,
81,–,O,,,
82,оценка,O,,,
83,плодородности,B-TERM,,,
84,почв,I-TERM,,,
85,(,O,,,
86,распределение,B-TERM,,,
87,минерализации,I-TERM,,,
88,"),",O,,,
89,контроль,O,,,
90,эффективности,B-TERM,,,
91,мелиорации,I-TERM,B-TERM,,Q5207064:91
92,.,O,,,
93,Целью,O,,,
94,проводимых,O,,,
95,исследований,B-TERM,,,Q42240:95
96,является,O,,,
97,разработка,B-TERM,,,Q638608:97
98,и,O,,,
99,создание,B-TERM,,,
100,переносного,I-TERM,B-TERM,,
101,программно,I-TERM,I-TERM,B-TERM,
102,-,I-TERM,I-TERM,I-TERM,
103,аппаратурного,I-TERM,I-TERM,I-TERM,
104,комплекса,I-TERM,I-TERM,I-TERM,
105,электромагнитного,I-TERM,I-TERM,I-TERM,
106,профилирования,I-TERM,I-TERM,I-TERM,
107,",",O,,,
108,позволяющего,O,,,
109,с,O,,,
110,высокой,O,,,
111,достоверностью,B-TERM,,,Q15139812:111
112,и,O,,,
113,точностью,B-TERM,,,Q272035:113
114,обнаруживать,O,,,
115,и,O,,,
116,дифференцировать,O,,,
117,по,O,,,
118,удельному,B-TERM,,,"Q108193:118,119,120"
119,электрическому,I-TERM,,,
120,сопротивлению,I-TERM,,,
121,объекты,B-TERM,,,
122,различного,O,,,
123,рода,O,,,
124,.,O,,,
125,На,O,,,
126,основании,O,,,
127,оригинального,O,,,
128,принципа,B-TERM,,,
129,компенсации,I-TERM,,,
130,первичного,I-TERM,,,
131,поля,I-TERM,,,
132,генераторной,I-TERM,,,
133,катушки,I-TERM,,,
134,была,O,,,
135,разработана,O,,,
136,компактная,B-TERM,,,
137,многочастотная,I-TERM,B-TERM,,
138,аппаратура,I-TERM,I-TERM,,
139,для,O,,,
140,электромагнитного,B-TERM,,,
141,профилирования,I-TERM,,,
142,.,O,,,
143,В,O,,,
144,результате,O,,,
145,прототипирования,B-TERM,,,Q576460:145
146,создана,O,,,
147,оптимальная,O,,,
148,конструкция,B-TERM,,,
149,корпуса,I-TERM,,,
150,",",O,,,
151,позволяющая,O,,,
152,реализовать,O,,,
153,данный,O,,,
154,принцип,B-TERM,,,
155,компенсации,I-TERM,,,
156,.,O,,,
157,Для,O,,,
158,эффективного,O,,,
159,использования,O,,,
160,аппаратурного,B-TERM,,,
161,комплекса,I-TERM,,,
162,было,O,,,
163,создано,O,,,
164,программное,B-TERM,,,
165,обеспечение,I-TERM,,,
166,QZond,I-TERM,B-TERM,,
167,",",O,,,
168,позволяющее,O,,,
169,управлять,O,,,
170,процессом,B-TERM,,,
171,сбора,I-TERM,,,
172,информации,I-TERM,,,
173,и,O,,,
174,в,O,,,
175,режиме,O,,,
176,реального,O,,,
177,времени,O,,,
178,визуализировать,O,,,
179,полученные,O,,,
180,данные,O,,,
181,.,O,,,
182,Проведенные,O,,,
183,полевые,B-TERM,,,
184,испытания,I-TERM,,,
185,на,O,,,
186,известных,O,,,
187,объектах,B-TERM,,,
188,электрометрического,I-TERM,,,
189,полигона,I-TERM,,,
190,ИНГГ,O,,,
191,СО,O,,,
192,РАН,O,,,
193,",",O,,,
194,при,O,,,
195,поиске,O,,,
196,локальных,B-TERM,,,
197,и,O,,,
198,протяженных,B-TERM,,,
199,проводников,I-TERM,B-TERM,,
200,",",O,,,
201,а,O,,,
202,также,O,,,
203,археолого,B-TERM,,,
204,-,I-TERM,,,
205,геофизические,I-TERM,,,
206,исследования,I-TERM,,,
207,показывают,O,,,
208,эффективность,O,,,
209,реализации,O,,,
210,компактной,B-TERM,,,
211,аппаратуры,I-TERM,B-TERM,,
212,электромагнитного,I-TERM,I-TERM,,
213,профилирования,I-TERM,I-TERM,,
214,.,O,,,
