id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Разработка,B-TERM,,,,
1,прецедентно,I-TERM,B-TERM,B-TERM,,
2,-,I-TERM,I-TERM,I-TERM,,
3,ориентированного,I-TERM,I-TERM,I-TERM,,
4,подхода,I-TERM,I-TERM,I-TERM,,
5,обратного,I-TERM,I-TERM,B-TERM,,
6,реинжиниринга,I-TERM,I-TERM,I-TERM,,
7,web,I-TERM,I-TERM,I-TERM,B-TERM,"Q189210:7,8,9"
8,-,I-TERM,I-TERM,I-TERM,I-TERM,
9,интерфейсов,I-TERM,I-TERM,I-TERM,I-TERM,
10,Статья,O,,,,
11,посвящена,O,,,,
12,применению,O,,,,
13,рассуждений,B-TERM,,,,"Q1151406:13,14,15,16"
14,на,I-TERM,,,,
15,основе,I-TERM,,,,
16,прецедентов,I-TERM,,,,
17,(,O,,,,
18,case,B-TERM,,,,"Q1151406:18,19,20,21"
19,-,I-TERM,,,,
20,based,I-TERM,,,,
21,reasoning,I-TERM,,,,
22,",",O,,,,
23,CBR,B-TERM,,,,Q1151406:23
24,),O,,,,
25,в,O,,,,
26,области,O,,,,
27,web,B-TERM,,,,"Q386275:27,28,29"
28,-,I-TERM,,,,
29,разработки,I-TERM,,,,
30,.,O,,,,
31,Учитывая,O,,,,
32,собственный,O,,,,
33,практический,O,,,,
34,опыт,O,,,,
35,в,O,,,,
36,данной,O,,,,
37,сфере,O,,,,
38,",",O,,,,
39,автор,O,,,,
40,предлагает,O,,,,
41,автоматизировать,O,,,,
42,составление,B-TERM,,,,
43,html,I-TERM,B-TERM,,,Q8811:43
44,/,I-TERM,,,,
45,css,I-TERM,B-TERM,,,Q46441:45
46,-,I-TERM,,,,
47,макета,I-TERM,B-TERM,,,
48,путём,O,,,,
49,агрегирования,B-TERM,,,,
50,прецедентов,I-TERM,,,,
51,кода,I-TERM,,,,
52,из,O,,,,
53,предыдущих,O,,,,
54,опытов,O,,,,
55,",",O,,,,
56,что,O,,,,
57,на,O,,,,
58,методологическом,B-TERM,,,,
59,уровне,I-TERM,,,,
60,крайне,O,,,,
61,близко,O,,,,
62,к,O,,,,
63,подходу,B-TERM,,,,"Q1151406:63,64"
64,CBR,I-TERM,B-TERM,,,
65,",",O,,,,
66,а,O,,,,
67,именно,O,,,,
68,:,O,,,,
69,предлагается,O,,,,
70,методика,B-TERM,,,,
71,конструирования,I-TERM,B-TERM,,,"Q3398377:71,72"
72,систем,I-TERM,I-TERM,,,
73,",",O,,,,
74,генерирующих,O,,,,
75,html,B-TERM,B-TERM,,,Q8811:75
76,-,I-TERM,,,,
77,код,I-TERM,,,,
78,из,O,,,,
79,растрового,B-TERM,,,,"Q182270:79,80"
80,изображения,I-TERM,B-TERM,,,
81,и,O,,,,
82,основанных,O,,,,
83,на,O,,,,
84,подходе,B-TERM,,,,"Q1151406:84,85,86,87,88"
85,рассуждений,I-TERM,,,,
86,на,I-TERM,,,,
87,основе,I-TERM,,,,
88,прецедентов,I-TERM,,,,
89,.,O,,,,
90,В,O,,,,
91,частности,O,,,,
92,",",O,,,,
93,в,O,,,,
94,статье,O,,,,
95,изложена,O,,,,
96,оригинальная,O,,,,
97,теория,B-TERM,,,,
98,составления,I-TERM,,,,
99,структуры,I-TERM,B-TERM,B-TERM,,Q6671777:99
100,изображения,I-TERM,I-TERM,B-TERM,,Q11795009:100
101,и,O,,,,
102,описан,O,,,,
103,алгоритм,B-TERM,,,,Q8366:103
104,получения,O,,,,
105,такой,O,,,,
106,структуры,B-TERM,,,,Q6671777:106
107,.,O,,,,
108,Кроме,O,,,,
109,того,O,,,,
110,",",O,,,,
111,рассматривается,O,,,,
112,модификация,O,,,,
113,подхода,B-TERM,,,,
114,case,I-TERM,B-TERM,,,"Q1151406:114,115,116,117"
115,-,I-TERM,I-TERM,,,
116,based,I-TERM,I-TERM,,,
117,reasoning,I-TERM,I-TERM,,,
118,",",O,,,,
119,которая,O,,,,
120,позволяет,O,,,,
121,получить,O,,,,
122,требуемый,O,,,,
123,результат,O,,,,
124,решения,O,,,,
125,поставленной,O,,,,
126,задачи,O,,,,
127,.,O,,,,
128,Также,O,,,,
129,описываются,O,,,,
130,результаты,O,,,,
131,прохождения,O,,,,
132,экспериментов,O,,,,
133,разработанной,O,,,,
134,системы,B-TERM,,,,Q2429814:134
135,в,O,,,,
136,определённых,O,,,,
137,условиях,O,,,,
138,.,O,,,,
