id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Моделирование,B-TERM,B-TERM,,,
1,структурной,I-TERM,I-TERM,B-TERM,,
2,организации,I-TERM,I-TERM,I-TERM,,
3,единого,I-TERM,B-TERM,B-TERM,,
4,информационного,I-TERM,I-TERM,I-TERM,B-TERM,"Q4202250:4,5"
5,пространства,I-TERM,I-TERM,I-TERM,I-TERM,
6,предприятия,I-TERM,I-TERM,,,
7,-,I-TERM,I-TERM,,,
8,разработчика,I-TERM,I-TERM,,,
9,микроэлектронных,I-TERM,I-TERM,,,
10,систем,I-TERM,I-TERM,,,
11,При,O,,,,
12,формировании,O,,,,
13,единого,B-TERM,,,,
14,информационного,I-TERM,B-TERM,,,"Q4202250:14,15"
15,пространства,I-TERM,I-TERM,,,
16,(,O,,,,
17,ЕИП,B-TERM,,,,
18,),O,,,,
19,широко,O,,,,
20,используется,O,,,,
21,моделирование,B-TERM,,,,Q6888384:21
22,как,O,,,,
23,объектов,B-TERM,,,,
24,информационного,I-TERM,B-TERM,,,"Q11024:24,25"
25,обмена,I-TERM,I-TERM,,,
26,",",O,,,,
27,так,O,,,,
28,и,O,,,,
29,инфраструктуры,B-TERM,B-TERM,,,Q15411548:29
30,ЕИП,I-TERM,B-TERM,,,
31,.,O,,,,
32,Несмотря,O,,,,
33,на,O,,,,
34,большое,O,,,,
35,разнообразие,O,,,,
36,подходов,B-TERM,,,,
37,к,O,,,,
38,решению,O,,,,
39,данной,O,,,,
40,задачи,B-TERM,,,,
41,",",O,,,,
42,в,O,,,,
43,частности,O,,,,
44,с,O,,,,
45,использованием,O,,,,
46,метода,B-TERM,,,,
47,матрицы,I-TERM,,,,
48,структуры,I-TERM,B-TERM,,,
49,проекта,I-TERM,I-TERM,B-TERM,,Q170584:49
50,",",O,,,,
51,предлагаемые,O,,,,
52,решения,O,,,,
53,не,O,,,,
54,обеспечивают,O,,,,
55,непосредственную,O,,,,
56,связь,O,,,,
57,между,O,,,,
58,элементами,B-TERM,,,,Q379825:58
59,описываемой,O,,,,
60,структуры,B-TERM,,,,Q6671777:60
61,и,O,,,,
62,используемыми,O,,,,
63,аппаратными,B-TERM,,,,Q3966:63
64,и,O,,,,
65,программными,B-TERM,,,,"Q7397:65,66"
66,средствами,I-TERM,,,,
67,.,O,,,,
68,Также,O,,,,
69,существующие,O,,,,
70,подходы,O,,,,
71,к,O,,,,
72,моделированию,B-TERM,,,,
73,информационной,I-TERM,B-TERM,,,
74,структуры,I-TERM,I-TERM,B-TERM,,Q6671777:74
75,не,O,,,,
76,учитывают,O,,,,
77,возможные,O,,,,
78,внешние,O,,,,
79,и,O,,,,
80,внутренние,O,,,,
81,ограничения,O,,,,
82,",",O,,,,
83,накладываемые,O,,,,
84,на,O,,,,
85,размещение,O,,,,
86,компонентов,B-TERM,,,,
87,ЕИП,I-TERM,B-TERM,,,
88,в,O,,,,
89,пространстве,B-TERM,,,,
90,предприятия,I-TERM,,,,
91,.,O,,,,
92,В,O,,,,
93,работе,O,,,,
94,предлагается,O,,,,
95,подход,B-TERM,,,,Q1799072:95
96,к,O,,,,
97,формализации,B-TERM,,,,
98,структуры,I-TERM,B-TERM,B-TERM,,Q6671777:98
99,ЕИП,I-TERM,I-TERM,B-TERM,,
100,предприятия,I-TERM,B-TERM,,,
101,-,I-TERM,I-TERM,,,
102,разработчика,I-TERM,I-TERM,,,
103,МЭС,I-TERM,I-TERM,,,
104,призван,O,,,,
105,устранить,O,,,,
106,данные,O,,,,
107,недостатки,O,,,,
108,.,O,,,,
109,В,O,,,,
110,статье,O,,,,
111,рассмотрена,O,,,,
112,обобщенная,O,,,,
113,модель,B-TERM,B-TERM,,,
114,структурной,I-TERM,I-TERM,B-TERM,,
115,организации,I-TERM,I-TERM,I-TERM,,
116,единого,I-TERM,B-TERM,,,
117,информационного,I-TERM,I-TERM,B-TERM,,"Q4202250:117,118"
118,пространства,I-TERM,I-TERM,I-TERM,,
119,по,O,,,,
120,параллельному,B-TERM,,,,
121,методу,I-TERM,,,,
122,интеграции,I-TERM,,,,
123,средств,I-TERM,,,,
124,поддержки,I-TERM,,,,
125,жизненного,I-TERM,,,,
126,цикла,I-TERM,,,,
127,изделия,I-TERM,,,,
128,.,O,,,,
129,Модель,B-TERM,,,,Q193946:129
130,включает,O,,,,
131,в,O,,,,
132,себя,O,,,,
133,описание,O,,,,
