id,token,tag,wiki_id
0,Программное,B-TERM,"Q7397:0,1"
1,обеспечение,I-TERM,
2,на,O,
3,основе,O,
4,WEB,B-TERM,
5,-,I-TERM,
6,технологий,I-TERM,
7,для,O,
8,геонавигации,B-TERM,
9,нефтегазовых,I-TERM,"Q502102:9,10"
10,скважин,I-TERM,
11,Для,O,
12,эффективного,O,
13,освоения,O,
14,залежей,B-TERM,"Q4185164:14,15"
15,углеводородов,I-TERM,
16,чрезвычайно,O,
17,важной,O,
18,становится,O,
19,высокая,O,
20,точность,O,
21,проводки,B-TERM,
22,горизонтальных,I-TERM,
23,скважин,I-TERM,
24,в,O,
25,целевых,O,
26,пластах,B-TERM,
27,-,I-TERM,
28,коллекторах,I-TERM,
29,.,O,
30,В,O,
31,процессе,O,
32,бурения,O,
33,геонавигация,B-TERM,
34,скважины,I-TERM,
35,со,I-TERM,
36,сложной,I-TERM,
37,траекторией,I-TERM,
38,выполняется,O,
39,по,O,
40,геофизическим,B-TERM,
41,данным,I-TERM,
42,в,O,
43,реальном,O,
44,масштабе,O,
45,времени,O,
46,.,O,
47,Представленная,O,
48,работа,O,
49,посвящена,O,
50,разработке,O,
51,нового,O,
52,программного,B-TERM,"Q7397:52,53"
53,обеспечения,I-TERM,
54,для,O,
55,геонавигации,B-TERM,
56,нефтегазовых,I-TERM,
57,скважин,I-TERM,
58,с,I-TERM,
59,горизонтальным,I-TERM,
60,завершением,I-TERM,
61,.,O,
62,Для,O,
63,решения,O,
64,задач,B-TERM,
65,геонавигации,I-TERM,
66,используются,O,
67,алгоритмы,B-TERM,
68,",",O,
69,основанные,O,
70,на,O,
71,методах,B-TERM,
72,корреляции,I-TERM,
73,каротажных,I-TERM,
74,данных,I-TERM,
75,и,O,
76,численной,B-TERM,
77,инверсии,I-TERM,
78,измерений,I-TERM,
79,электромагнитного,I-TERM,
80,каротажа,I-TERM,
81,.,O,
82,Разработанное,O,
83,новое,O,
84,программное,B-TERM,"Q7397:84,85"
85,приложение,I-TERM,
86,основано,O,
87,на,O,
88,web,B-TERM,
89,-,I-TERM,
90,технологиях,I-TERM,
91,и,O,
92,имеет,O,
93,клиент,B-TERM,"Q146813:93,94,95,96"
94,-,I-TERM,
95,серверную,I-TERM,
96,архитектуру,I-TERM,
97,.,O,
98,Для,O,
99,оптимизации,B-TERM,
100,времени,I-TERM,
101,выполнения,I-TERM,
102,ресурсоемких,I-TERM,
103,расчётов,I-TERM,
104,используются,O,
105,высокопроизводительные,O,
106,облачные,B-TERM,"Q483639:106,107"
107,вычисления,I-TERM,
108,.,O,
