id,token,tag,nested_1,nested_2,wiki_id
0,Подход,B-TERM,B-TERM,,Q1799072:0
1,к,I-TERM,,,
2,построению,I-TERM,,,
3,расширенных,I-TERM,B-TERM,,
4,тематических,I-TERM,I-TERM,B-TERM,"Q3532085:4,5"
5,моделей,I-TERM,I-TERM,I-TERM,
6,текстов,I-TERM,I-TERM,,
7,на,O,,,
8,русском,O,,,
9,языке,O,,,
10,Представлен,O,,,
11,новый,O,,,
12,подход,B-TERM,,,Q1799072:12
13,для,O,,,
14,получения,O,,,
15,расширенных,B-TERM,B-TERM,,
16,тематических,I-TERM,I-TERM,B-TERM,"Q3532085:16,17"
17,моделей,I-TERM,I-TERM,I-TERM,
18,текстов,I-TERM,I-TERM,,
19,научных,I-TERM,B-TERM,,
20,статей,I-TERM,I-TERM,,
21,на,O,,,
22,русском,O,,,
23,языке,O,,,
24,.,O,,,
25,Под,O,,,
26,расширенной,B-TERM,,,
27,моделью,I-TERM,,,Q1979154:27
28,понимается,O,,,
29,тематическая,B-TERM,B-TERM,,"Q3532085:29,30"
30,модель,I-TERM,I-TERM,B-TERM,
31,",",O,,,
32,содержащая,O,,,
33,кроме,O,,,
34,однословных,B-TERM,,,
35,терминов,I-TERM,B-TERM,,Q1969448:35
36,термины,B-TERM,,,Q1969448:36
37,",",O,,,
38,состоящие,O,,,
39,из,O,,,
40,нескольких,O,,,
41,слов,O,,,
42,(,O,,,
43,также,O,,,
44,называемые,O,,,
45,многословные,B-TERM,,,
46,термины,I-TERM,B-TERM,,Q1969448:46
47,или,O,,,
48,ключевые,B-TERM,,,
49,фра,I-TERM,B-TERM,,
50,зы,I-TERM,I-TERM,,
51,).,O,,,
52,Такие,O,,,
53,модели,O,,,
54,лучше,O,,,
55,интерпретируются,O,,,
56,пользователями,B-TERM,,,Q278368:56
57,и,O,,,
58,точнее,O,,,
59,описывают,O,,,
60,предметную,B-TERM,B-TERM,,"Q2088941:60,61"
61,область,I-TERM,I-TERM,,
62,документа,I-TERM,,,
63,",",O,,,
64,чем,O,,,
65,модели,B-TERM,,,Q1979154:65
66,",",O,,,
67,состоящие,O,,,
68,только,O,,,
69,из,O,,,
70,униграмм,B-TERM,,,
71,(,O,,,
72,отдельных,B-TERM,,,
73,слов,I-TERM,,,
74,).,O,,,
75,На,O,,,
76,основе,O,,,
77,предложенного,O,,,
78,подхода,B-TERM,,,Q1799072:78
79,была,O,,,
80,разработана,O,,,
81,система,B-TERM,,,Q2429814:81
82,",",O,,,
83,в,O,,,
84,результате,O,,,
85,работы,O,,,
86,которой,O,,,
87,для,O,,,
88,каждого,O,,,
89,документа,B-TERM,,,
90,предоставляется,O,,,
91,набор,O,,,
92,содержащихся,O,,,
93,в,O,,,
94,нем,O,,,
95,тем,B-TERM,,,
96,с,O,,,
97,указанными,O,,,
98,вероятностями,B-TERM,,,Q9492:98
99,",",O,,,
100,ключевыми,B-TERM,,,"Q1128340:100,101"
101,словами,I-TERM,,,
102,и,O,,,
103,фразами,B-TERM,,,
104,для,O,,,
105,каждой,O,,,
106,темы,B-TERM,,,
107,.,O,,,
108,Предложенный,O,,,
109,в,O,,,
110,статье,O,,,
111,подход,B-TERM,,,Q1799072:111
112,может,O,,,
113,быть,O,,,
114,полезен,O,,,
115,при,O,,,
116,построении,O,,,
117,рекомендательных,B-TERM,,,"Q554950:117,118"
118,систем,I-TERM,B-TERM,,
119,и,O,,,
120,систем,B-TERM,B-TERM,,Q2429814:81
121,автореферирования,I-TERM,,,
122,.,O,,,
