id,token,tag,nested_1,nested_2,wiki_id
0,Сytoscape,B-TERM,,,
1,–,O,,,
2,плагин,B-TERM,,,Q184148:2
3,для,O,,,
4,построения,B-TERM,,,
5,структурных,I-TERM,B-TERM,,"Q1979154:5,6"
6,моделей,I-TERM,I-TERM,,
7,биологических,I-TERM,B-TERM,,
8,сетей,I-TERM,I-TERM,B-TERM,
9,в,O,,,
10,виде,O,,,
11,случайных,B-TERM,,,"Q910404:11,12"
12,графов,I-TERM,,,
13,Современные,O,,,
14,методы,B-TERM,,,
15,экспериментальных,I-TERM,,,
16,исследований,I-TERM,,,
17,позволяют,O,,,
18,реконструировать,O,,,
19,различного,O,,,
20,типа,O,,,
21,биологические,B-TERM,,,
22,сети,I-TERM,B-TERM,,
23,",",O,,,
24,включая,O,,,
25,генные,B-TERM,,,
26,и,O,,,
27,метаболические,B-TERM,,,"Q2263094:27,28"
28,сети,I-TERM,B-TERM,,
29,",",O,,,
30,сети,B-TERM,B-TERM,,
31,интерактомики,I-TERM,,,
32,",",O,,,
33,сети,B-TERM,B-TERM,,
34,коэкспрессии,I-TERM,,,
35,генов,I-TERM,,,
36,",",O,,,
37,сети,B-TERM,B-TERM,,
38,заболеваний,I-TERM,,,
39,и,O,,,
40,т,O,,,
41,.,O,,,
42,д,O,,,
43,.,O,,,
44,В,O,,,
45,данной,O,,,
46,статье,O,,,
47,представлена,O,,,
48,разработанная,O,,,
49,нами,O,,,
50,система,B-TERM,B-TERM,,
51,построения,I-TERM,B-TERM,,
52,структурных,I-TERM,I-TERM,B-TERM,
53,моделей,I-TERM,I-TERM,I-TERM,
54,биологических,I-TERM,I-TERM,B-TERM,
55,сетей,I-TERM,I-TERM,I-TERM,
56,в,O,,,
57,виде,O,,,
58,набора,B-TERM,,,
59,случайных,I-TERM,B-TERM,,"Q910404:59,60"
60,графов,I-TERM,I-TERM,,
61,",",O,,,
62,структурные,B-TERM,,,
63,закономерности,I-TERM,,,
64,которых,O,,,
65,совпадают,O,,,
66,со,O,,,
67,структурными,B-TERM,,,
68,закономерностями,I-TERM,,,
69,исходной,O,,,
70,биологической,B-TERM,,,
71,сети,I-TERM,B-TERM,,
72,.,O,,,
73,Такие,O,,,
74,структурные,B-TERM,,,"Q1979154:74,75"
75,модели,I-TERM,,,
76,могут,O,,,
77,быть,O,,,
78,использованы,O,,,
79,для,O,,,
80,проверки,O,,,
81,различных,O,,,
82,статистических,B-TERM,,,"Q210832:82,83"
83,гипотез,I-TERM,,,
84,на,O,,,
85,сетях,B-TERM,,,
86,",",O,,,
87,в,O,,,
88,исследовании,O,,,
89,влияния,O,,,
90,структурных,B-TERM,,,"Q1979154:90,91"
91,закономерностей,I-TERM,,,
92,в,O,,,
93,биологических,B-TERM,,,
94,сетях,I-TERM,B-TERM,,
95,на,O,,,
96,их,O,,,
97,функцию,B-TERM,,,Q2528683:97
98,и,O,,,
99,других,O,,,
100,задачах,B-TERM,,,Q759676:100
101,.,O,,,
102,При,O,,,
103,генерации,B-TERM,,,
104,структурных,I-TERM,B-TERM,,"Q1979154:104,105"
105,моделей,I-TERM,I-TERM,,
106,в,O,,,
107,случайных,B-TERM,,,"Q910404:107,108"
108,графах,I-TERM,,,
109,могут,O,,,
110,быть,O,,,
111,зафиксированы,O,,,
112,следующие,O,,,
113,характеристики,B-TERM,,,
