id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Разработка,B-TERM,,,,
1,автоматизированных,I-TERM,B-TERM,,,
2,методов,I-TERM,I-TERM,B-TERM,,
3,представления,I-TERM,I-TERM,I-TERM,B-TERM,"Q3478658:3,4"
4,знаний,I-TERM,I-TERM,I-TERM,I-TERM,
5,о,O,,,,
6,действиях,B-TERM,,,,Q1914636:6
7,и,O,,,,
8,ситуациях,B-TERM,,,,Q2141565:8
9,Статья,O,,,,
10,посвящена,O,,,,
11,разработке,B-TERM,,,,
12,автоматизированных,I-TERM,B-TERM,,,
13,методов,I-TERM,I-TERM,B-TERM,,
14,интеграции,I-TERM,I-TERM,I-TERM,,
15,знаний,I-TERM,I-TERM,I-TERM,B-TERM,Q9081:15
16,",",O,,,,
17,извлеченных,O,,,,
18,из,O,,,,
19,текстов,B-TERM,,,,
20,естественного,I-TERM,B-TERM,,,"Q33742:20,21"
21,языка,I-TERM,I-TERM,,,
22,.,O,,,,
23,Для,O,,,,
24,решения,O,,,,
25,этой,O,,,,
26,задачи,B-TERM,,,,
27,используются,O,,,,
28,методы,B-TERM,,,,
29,преобразования,I-TERM,,,,
30,предложений,I-TERM,B-TERM,,,
31,естественного,I-TERM,I-TERM,B-TERM,,"Q33742:31,32"
32,языка,I-TERM,I-TERM,I-TERM,,
33,во,O,,,,
34,фрагменты,B-TERM,,,,
35,атомарных,I-TERM,B-TERM,,,
36,диаграмм,I-TERM,I-TERM,,,
37,.,O,,,,
38,Знания,B-TERM,,,,Q9081:38
39,",",O,,,,
40,извлеченные,O,,,,
41,из,O,,,,
42,текстов,B-TERM,,,,
43,",",O,,,,
44,формализуются,O,,,,
45,при,O,,,,
46,помощи,O,,,,
47,атомарных,B-TERM,,,,
48,предложений,I-TERM,,,,
49,сигнатуры,I-TERM,B-TERM,,,Q741810:49
50,",",O,,,,
51,состоящей,O,,,,
52,из,O,,,,
53,символов,B-TERM,,,,
54,констант,I-TERM,B-TERM,,,Q186509:54
55,",",O,,,,
56,двухместных,B-TERM,,,,
57,предикатов,I-TERM,B-TERM,,,Q1144319:57
58,и,O,,,,
59,дополнительных,B-TERM,,,,
60,констант,I-TERM,,,,
61,-,I-TERM,,,,
62,ситуаций,I-TERM,,,,
63,.,O,,,,
64,Разработаны,O,,,,
65,методы,B-TERM,,,,
66,интеграции,I-TERM,,,,
67,знаний,I-TERM,B-TERM,,,Q9081:67
68,",",O,,,,
69,содержащихся,O,,,,
70,в,O,,,,
71,нескольких,O,,,,
72,предложениях,B-TERM,,,,
73,естественного,I-TERM,B-TERM,,,"Q33742:73,74"
74,языка,I-TERM,I-TERM,,,
75,",",O,,,,
76,позволяющие,O,,,,
77,учитывать,O,,,,
78,их,O,,,,
79,семантические,B-TERM,,,,
80,контексты,I-TERM,B-TERM,,,Q196626:80
81,.,O,,,,
