id,token,tag,nested_1,nested_2,nested_3,wiki_id
0,Разработка,B-TERM,,,,
1,информационной,I-TERM,B-TERM,,,"Q121182:1,2"
2,системы,I-TERM,I-TERM,,,
3,по,O,,,,
4,клещевой,B-TERM,,,,
5,опасности,I-TERM,,,,
6,на,O,,,,
7,основе,O,,,,
8,онтологии,B-TERM,,,,Q324254:8
9,предметной,B-TERM,,,,"Q2088941:9,10"
10,области,I-TERM,,,,
11,Предложен,O,,,,
12,подход,B-TERM,,,,
13,к,I-TERM,,,,
14,разработке,I-TERM,B-TERM,,,
15,состава,I-TERM,I-TERM,B-TERM,,
16,и,I-TERM,I-TERM,,,
17,структуры,I-TERM,I-TERM,B-TERM,B-TERM,Q6671777:17
18,Интернет,I-TERM,I-TERM,I-TERM,B-TERM,
19,-,I-TERM,I-TERM,I-TERM,I-TERM,
20,ресурса,I-TERM,I-TERM,I-TERM,I-TERM,
21,на,O,,,,
22,основе,O,,,,
23,онтологии,B-TERM,,,,Q324254:23
24,предметной,B-TERM,,,,"Q2088941:24,25"
25,области,I-TERM,,,,
26,.,O,,,,
27,Описана,O,,,,
28,предметная,B-TERM,,,,"Q2088941:28,29"
29,область,I-TERM,,,,
30,",",O,,,,
31,связанная,O,,,,
32,с,O,,,,
33,распространением,O,,,,
34,клещей,B-TERM,,,,Q19137:34
35,и,O,,,,
36,переносимыми,O,,,,
37,ими,O,,,,
38,заболеваниями,B-TERM,,,,Q12136:38
39,",",O,,,,
40,представлена,O,,,,
41,ее,O,,,,
42,семантическая,B-TERM,,,,
43,структура,I-TERM,,,,
44,",",O,,,,
45,выделены,O,,,,
46,основные,O,,,,
47,разделы,B-TERM,,,,
48,информационного,I-TERM,,,,
49,наполнения,I-TERM,,,,
50,и,O,,,,
51,показаны,O,,,,
52,способы,O,,,,
53,навигации,B-TERM,,,,
54,по,I-TERM,,,,
55,ресурсу,I-TERM,,,,
56,.,O,,,,
