id,token,tag
0,Уточняется,
1,соотношение,
2,понятий,
3,коммуникативная,B-TERM
4,стратегия,I-TERM
5,",",
6,речевая,B-TERM
7,тактика,I-TERM
8,и,
9,коммуникативный,B-TERM
10,ход,I-TERM
11,.,
12,Выявляются,
13,разновидности,
14,речевых,B-TERM
15,тактик,I-TERM
16,и,
17,коммуникативных,B-TERM
18,ходов,I-TERM
19,",",
20,реализующие,
21,стратегии,B-TERM
22,обличения,I-TERM
23,и,
24,разоблачения,B-TERM
25,в,
26,жанре,
27,литературной,B-TERM
28,критики,I-TERM
29,.,
30,Делается,
31,вывод,
32,о,
33,специфике,
34,жанра,
35,литературной,B-TERM
36,критики,I-TERM
37,в,
38,масс,B-TERM
39,-,I-TERM
40,медийном,I-TERM
41,издании,I-TERM
42,.,
