id,token,tag
0,Статья,
1,посвящена,
2,переходу,
3,казахстанских,B-TERM
4,вузов,I-TERM
5,к,
6,инновационным,B-TERM
7,моделям,I-TERM
8,.,
9,Изучается,
10,структура,
11,",",
12,история,
13,и,
14,опыт,
15,западных,B-TERM
16,концепций,I-TERM
17,организации,I-TERM
18,университетского,I-TERM
19,образования,I-TERM
20,",",
21,а,
22,также,
23,анализируются,
24,проблемы,
25,и,
26,перспективные,
27,возможности,
28,применения,
29,инновационных,B-TERM
30,технологий,I-TERM
31,в,
32,журналистском,B-TERM
33,образовании,I-TERM
34,.,
