id,token,tag
0,Исследуется,
1,семантика,B-TERM
2,и,
3,прагматика,B-TERM
4,конструкций,B-TERM
5,типа,
6,самый,
7,покупаемый,
8,",",
9,которые,
10,широко,
11,используются,
12,в,
13,медиатекстах,B-TERM
14,для,
15,номинации,B-TERM
16,качественного,I-TERM
17,признака,I-TERM
18,предмета,I-TERM
19,.,
20,Автор,
21,выявляет,
22,факторы,B-TERM
23,",",
24,обусловливающие,
25,возможность,
26,образования,
27,таких,
28,конструкций,B-TERM
29,",",
30,описывает,
31,характерные,
32,для,
33,них,
34,имплицитные,B-TERM
35,смыслы,I-TERM
36,",",
37,показывает,
38,",",
39,что,
40,они,
41,апеллируют,
42,к,
43,авторитету,
44,или,
45,практике,
46,неограниченного,
47,круга,
48,лиц,
49,и,
50,потому,
51,обладают,
52,повышенной,
53,воздействующей,B-TERM
54,силой,I-TERM
55,.,
