id,token,tag
0,Деятельность,O
1,кафедры,B-TERM
2,квантовой,B-TERM
3,электроники,I-TERM
4,ФФ,O
5,НГУ,O
6,нацелена,O
7,на,O
8,подготовку,O
9,высококвалифицированных,O
10,кадров,O
11,в,O
12,области,O
13,современной,O
14,лазерной,B-TERM
15,физики,I-TERM
16,и,O
17,техники,B-TERM
18,",",O
19,прецизионной,B-TERM
20,лазерной,I-TERM
21,метрологии,I-TERM
22,",",O
23,и,O
24,квантовых,B-TERM
25,технологий,I-TERM
26,в,O
27,целом,O
28,.,O
29,Кафедра,B-TERM
30,базируется,O
31,в,O
32,Институте,B-TERM
33,лазерной,I-TERM
34,физики,I-TERM
35,СО,B-TERM
36,РАН,I-TERM
37,.,O
