id,token,tag
0,Проведено,O
1,экспериментальное,B-TERM
2,исследование,I-TERM
3,влияния,O
4,продольных,B-TERM
5,вихрей,I-TERM
6,",",O
7,порождаемых,O
8,слабыми,O
9,ударными,B-TERM
10,волнами,I-TERM
11,",",O
12,на,O
13,ламинарно,B-TERM
14,-,I-TERM
15,турбулентный,I-TERM
16,переход,I-TERM
17,в,O
18,пограничном,B-TERM
19,слое,I-TERM
20,плоской,I-TERM
21,пластины,I-TERM
22,при,O
23,числе,B-TERM
24,Маха,I-TERM
25,2,O
26,.,O
27,Для,O
28,усиления,O
29,эффекта,B-TERM
30,порождения,I-TERM
31,продольных,I-TERM
32,вихрей,I-TERM
33,использована,O
34,модель,O
35,с,O
36,радиусом,B-TERM
37,притупления,I-TERM
38,передней,I-TERM
39,кромки,I-TERM
40,0,O
41,",",O
42,5,O
43,мм,O
44,.,O
45,Измерения,B-TERM
46,интенсивности,I-TERM
47,возмущений,B-TERM
48,проводились,O
49,термоанемометром,B-TERM
50,постоянного,I-TERM
51,сопротивления,I-TERM
52,и,O
53,однониточным,B-TERM
54,датчиком,I-TERM
55,.,O
56,Для,O
57,изменения,O
58,чисел,B-TERM
59,Рейнольдса,I-TERM
60,в,O
61,потоке,O
62,использовался,O
63,метод,B-TERM
64,варьирования,I-TERM
65,давления,I-TERM
66,в,O
67,форкамере,B-TERM
68,сверхзвуковой,O
69,аэродинамической,B-TERM
70,трубы,I-TERM
71,.,O
72,По,O
73,условиям,O
74,экспериментов,O
75,уровень,O
76,возмущений,B-TERM
77,массового,O
78,расхода,O
79,в,O
80,рабочей,O
81,части,O
82,Т,O
83,-,O
84,325,O
85,ИТПМ,B-TERM
86,СО,I-TERM
87,РАН,I-TERM
88,не,O
89,превышал,O
90,0,O
91,",",O
92,1,O
93,%,O
94,от,O
95,величины,O
96,среднего,O
97,течения,O
98,в,O
99,диапазоне,B-TERM
100,частот,I-TERM
101,от,O
102,0,O
103,",",O
104,2,O
105,до,O
106,50,O
107,кГц,B-TERM
108,.,O
109,В,O
110,данной,O
111,работе,O
112,впервые,O
113,получено,O
114,",",O
115,что,O
116,стационарные,O
117,продольные,B-TERM
118,вихри,I-TERM
119,",",O
120,возникающие,O
121,в,O
122,пограничном,B-TERM
123,слое,I-TERM
124,плоской,I-TERM
125,пластины,I-TERM
126,в,O
127,результате,O
128,воздействия,O
129,пары,O
130,слабых,O
131,ударных,B-TERM
132,волн,I-TERM
133,на,O
134,ее,O
135,переднюю,O
136,кромку,O
137,",",O
138,приводят,O
139,к,O
140,раннему,O
141,ламинарнотурбулентному,B-TERM
142,переходу,I-TERM
143,при,O
144,разных,O
145,числах,B-TERM
146,Рейнольдса,I-TERM
147,.,O
148,В,O
149,случае,O
150,однородного,O
151,пограничного,B-TERM
152,слоя,I-TERM
153,переход,B-TERM
154,достигается,O
155,при,O
156,Rex,B-TERM
157,≈,O
158,3,O
159,",",O
160,1,O
161,×,O
162,106,O
163,",",O
164,а,O
165,при,O
166,измерениях,O
167,в,O
168,области,B-TERM
169,вихрей,I-TERM
170,от,O
171,ударных,B-TERM
172,волн,I-TERM
173,при,O
174,значениях,O
175,Rex,B-TERM
176,≈,O
177,1,O
178,",",O
179,5,O
180,×,O
181,106,O
182,и,O
183,Rex,B-TERM
184,≈,O
185,2,O
186,×,O
187,106,O
188,.,O
