id,token,tag
0,Кафедра,B-TERM
1,физики,B-TERM
2,полупроводников,I-TERM
3,физического,O
4,факультета,O
5,НГУ,O
6,готовит,O
7,специалистов,O
8,для,O
9,научно,O
10,-,O
11,исследовательской,O
12,работы,O
13,в,O
14,области,O
15,физики,B-TERM
16,конденсированного,I-TERM
17,состояния,I-TERM
18,",",O
19,физики,B-TERM
20,полупроводников,I-TERM
21,и,O
22,физики,B-TERM
23,низкоразмерных,I-TERM
24,систем,I-TERM
25,и,O
26,наноструктур,B-TERM
27,.,O
28,Кафедра,B-TERM
29,дает,O
30,знания,O
31,",",O
32,обеспечивающие,O
33,возможность,O
34,ее,O
35,выпускникам,O
36,участвовать,O
37,в,O
38,развитии,O
39,полупроводниковых,B-TERM
40,технологий,I-TERM
41,",",O
42,совершенствовании,O
43,существующих,O
44,и,O
45,создании,O
46,новых,O
47,приборов,B-TERM
48,оптоэлектроники,I-TERM
49,",",O
50,микро,B-TERM
51,-,O
52,и,O
53,наноэлектроники,B-TERM
54,.,O
55,В,O
56,статье,O
57,изложена,O
58,история,O
59,создания,O
60,кафедры,B-TERM
61,",",O
62,прослежены,O
63,основные,O
64,этапы,O
65,формирования,O
66,учебных,O
67,курсов,O
68,и,O
69,работы,O
70,по,O
71,организации,O
72,научно,O
73,-,O
74,исследовательской,O
75,практики,O
76,студентов,O
77,в,O
78,лабораториях,B-TERM
79,Института,B-TERM
80,физики,I-TERM
81,полупроводников,I-TERM
82,им,O
83,.,O
84,А,O
85,.,O
86,В,O
87,.,O
88,Ржанова,O
89,(,O
90,ИФП,B-TERM
91,СО,B-TERM
92,РАН,I-TERM
93,),O
94,–,O
95,базового,O
96,Института,O
97,кафедры,B-TERM
98,.,O
99,Дан,O
100,обзор,O
101,преподаваемых,O
102,на,O
103,кафедре,B-TERM
104,учебных,O
105,курсов,O
106,для,O
107,подготовки,O
108,бакалавров,B-TERM
109,и,O
110,магистров,B-TERM
111,.,O
112,Рассказано,O
113,о,O
114,научных,O
115,и,O
116,технологических,O
117,достижениях,O
118,ИФП,B-TERM
119,СО,B-TERM
120,РАН,I-TERM
121,",",O
122,об,O
123,имеющемся,O
124,в,O
125,лабораториях,B-TERM
126,Института,I-TERM
127,уникальном,O
128,измерительном,B-TERM
129,",",O
130,аналитическом,B-TERM
131,и,O
132,технологическом,B-TERM
133,оборудовании,I-TERM
134,",",O
135,что,O
136,служит,O
137,основой,O
138,для,O
139,организации,O
140,научно,O
141,-,O
142,исследовательской,O
143,работы,O
144,студентов,O
145,на,O
146,высоком,O
147,научно,O
148,-,O
149,методическом,O
150,уровне,O
151,.,O
