id,token,tag
0,Представлена,O
1,информация,O
2,о,O
3,кафедре,B-TERM
4,квантовой,B-TERM
5,оптики,I-TERM
6,Новосибирского,O
7,государственного,O
8,университета,O
9,.,O
10,Кратко,O
11,описана,O
12,история,O
13,создания,O
14,кафедры,B-TERM
15,ее,O
16,основателем,O
17,членом,O
18,-,O
19,корреспондентом,O
20,РАН,B-TERM
21,Сергеем,O
22,Глебовичем,O
23,Раутианом,O
24,",",O
25,описаны,O
26,основные,O
27,направления,O
28,подготовки,O
29,студентов,O
30,и,O
31,их,O
32,связь,O
33,с,O
34,научными,O
35,исследованиями,O
36,преподавателей,O
37,и,O
38,студентов,O
39,кафедры,B-TERM
40,.,O
