id,token,tag
0,Рассмотрен,O
1,подход,O
2,к,O
3,созданию,O
4,узкополосного,B-TERM
5,квазиоптического,I-TERM
6,фильтра,I-TERM
7,с,O
8,центральной,B-TERM
9,частотой,I-TERM
10,ν,O
11,#ERROR!,O
12,806,O
13,ГГц,B-TERM
14,(,O
15,λ,B-TERM
16,#ERROR!,O
17,372,O
18,мкм,B-TERM
19,),O
20,",",O
21,предназначенного,O
22,для,O
23,реализации,O
24,метода,B-TERM
25,андерсемплинга,I-TERM
26,в,O
27,импульсной,B-TERM
28,терагерцовой,I-TERM
29,спектроскопии,I-TERM
30,.,O
31,Частота,B-TERM
32,выбрана,O
33,с,O
34,целью,O
35,мониторинга,B-TERM
36,линии,I-TERM
37,поглощения,I-TERM
38,молекулярного,I-TERM
39,газа,I-TERM
40,СО,B-TERM
41,в,O
42,локальном,B-TERM
43,окне,I-TERM
44,прозрачности,B-TERM
45,атмосферы,I-TERM
46,.,O
47,Фильтр,B-TERM
48,основан,O
49,на,O
50,эталоне,B-TERM
51,Фабри,I-TERM
52,–,I-TERM
53,Перо,I-TERM
54,и,O
55,представляет,O
56,собой,O
57,полипропиленовую,B-TERM
58,пленку,I-TERM
59,с,O
60,нанесенными,O
61,с,O
62,обеих,O
63,сторон,O
64,частотно,B-TERM
65,-,I-TERM
66,избирательными,I-TERM
67,поверхностями,I-TERM
68,(,O
69,ЧИП,B-TERM
70,),O
71,в,O
72,форме,O
73,квадратных,O
74,прорезей,O
75,в,O
76,напыленном,O
77,алюминиевом,O
78,слое,O
79,.,O
80,Посредством,O
81,численного,B-TERM
82,моделирования,I-TERM
83,пропускания,B-TERM
84,предложенной,O
85,структуры,O
86,определено,O
87,",",O
88,что,O
89,оптимум,O
90,отношения,O
91,ширины,O
92,металлической,O
93,перемычки,O
94,a,O
95,к,O
96,латеральному,B-TERM
97,периоду,I-TERM
98,g,O
99,ЧИП,B-TERM
100,лежит,O
101,в,O
102,окрестности,B-TERM
103,a,O
104,/,O
105,g,O
106,#ERROR!,O
107,0,O
108,",",O
109,5,O
110,.,O
111,При,O
112,выборе,O
113,g,O
114,менее,O
115,половины,O
116,рабочей,O
117,длины,B-TERM
118,волны,I-TERM
119,λ,B-TERM
120,показано,O
121,",",O
122,что,O
123,полная,B-TERM
124,ширина,I-TERM
125,на,O
126,полувысоте,B-TERM
127,пропускания,I-TERM
128,получаемого,O
129,квазиоптического,B-TERM
130,фильтра,I-TERM
131,составляет,O
132,менее,O
133,4,O
134,%,O
135,",",O
136,что,O
137,достаточно,O
138,для,O
139,реализации,O
140,метода,B-TERM
141,андерсемплинга,I-TERM
142,в,O
143,импульсных,B-TERM
144,терагерцовых,I-TERM
145,спектрометрах,I-TERM
146,.,O
