id,token,tag
0,В,O
1,работе,O
2,рассматривается,O
3,метод,O
4,определения,O
5,критической,B-TERM
6,точки,I-TERM
7,фазового,B-TERM
8,перехода,I-TERM
9,II,I-TERM
10,рода,I-TERM
11,модели,B-TERM
12,Изинга,I-TERM
13,на,O
14,квадратной,B-TERM
15,решётке,I-TERM
16,с,O
17,применением,O
18,свёрточной,B-TERM
19,нейронной,I-TERM
20,сети,I-TERM
21,.,O
22,Данные,O
23,для,O
24,обучения,O
25,и,O
26,анализа,O
27,получены,O
28,с,O
29,помощью,O
30,Монте,B-TERM
31,-,I-TERM
32,Карло,I-TERM
33,моделирования,I-TERM
34,(,O
35,алгоритм,B-TERM
36,Метрополиса,I-TERM
37,),O
38,.,O
39,Нейронная,B-TERM
40,сеть,I-TERM
41,обучалась,O
42,на,O
43,данных,B-TERM
44,",",O
45,соответствующих,O
46,низкотемпературной,B-TERM
47,фазе,I-TERM
48,–,O
49,ферромагнитной,O
50,и,O
51,высокотемпературной,O
52,–,O
53,парамагнитной,O
54,",",O
55,соответственно,O
56,.,O
57,После,O
58,обучения,O
59,нейронная,B-TERM
60,сеть,I-TERM
61,анализировала,O
62,входные,B-TERM
63,данные,I-TERM
64,из,O
65,всего,O
66,температурного,B-TERM
67,диапазона,I-TERM
68,:,O
69,от,O
70,0,O
71,",",O
72,1,O
73,до,O
74,5,O
75,",",O
76,0,O
77,(,O
78,в,O
79,безразмерных,O
80,величинах,O
81,J,O
82,),O
83,и,O
84,определяла,O
85,точку,B-TERM
86,Кюри,I-TERM
87,T,O
88,.,O
