id,token,tag
0,Представлены,
1,основные,
2,итоги,
3,исследования,
4,дипломатического,B-TERM
5,дискурса,I-TERM
6,",",
7,которое,
8,было,
9,проведено,
10,с,
11,целью,
12,выявления,
13,специфических,
14,особенностей,
15,данного,
16,вида,
17,общения,B-TERM
18,",",
19,выделения,
20,его,
21,возможных,
22,форм,
23,",",
24,а,
25,также,
26,изучения,
27,интенционального,B-TERM
28,профиля,I-TERM
29,закрытых,B-TERM
30,дипломатических,I-TERM
31,переговоров,I-TERM
32,",",
33,завершившихся,
34,достижением,
35,поставленных,
36,в,
37,общении,B-TERM
38,целей,I-TERM
39,.,
