id,token,tag
0,Приводятся,
1,результаты,
2,анализа,B-TERM
3,ключевого,
4,для,
5,американской,B-TERM
6,лингвокультуры,I-TERM
7,слова,
8,positive,
9,и,
10,устойчивого,
11,сочетания,
12,think,
13,(,
14,ing,
15,),
16,positively,
17,",",
18,называющего,
19,",",
20,по,
21,нашему,
22,мнению,
23,",",
24,этноспецифический,B-TERM
25,культурный,I-TERM
26,концепт,I-TERM
27,«,
28,позитивное,B-TERM
29,мироощущение,I-TERM
30,/,
31,оптимизм,B-TERM
32,»,
33,.,
34,Проводится,
35,параллель,
36,с,
37,аналогичными,
38,словами,
39,в,
40,русской,B-TERM
41,лингвокультуре,I-TERM
42,.,
43,Делается,
44,предположение,
45,об,
46,определенном,
47,влиянии,
48,американского,B-TERM
49,концепта,I-TERM
50,на,
51,соответствующий,
52,русский,B-TERM
53,.,
54,Исследование,B-TERM
55,носит,
56,предварительный,
57,характер,
58,.,
