id,token,tag
0,Рассматриваются,
1,структура,B-TERM
2,и,
3,содержание,B-TERM
4,значения,B-TERM
5,слова,B-TERM
6,«,
7,женщина,
8,»,
9,в,
10,лексикографических,B-TERM
11,источниках,I-TERM
12,",",
13,материалах,B-TERM
14,ассоциативных,I-TERM
15,словарей,I-TERM
16,и,
17,данных,B-TERM
18,свободного,B-TERM
19,ассоциативного,I-TERM
20,эксперимента,I-TERM
21,.,
22,Привлечение,
23,данных,B-TERM
24,трех,
25,языков,
26,позволяет,
27,выявить,
28,универсальные,B-TERM
29,и,
30,специфические,B-TERM
31,особенности,I-TERM
32,репрезентации,B-TERM
33,образа,B-TERM
34,женщины,I-TERM
35,в,
36,русской,
37,",",
38,хакасской,
39,и,
40,английской,
41,лингвокультурах,B-TERM
42,.,
